M/F,Phd year,Hiring year,Carnegie Class
F,2012,2016,R1
F,2013,2016,R1
M,2010,2016,R1
F,2012,2016,R1
M,2011,2016,R1
X,1900,2016,X
M,2005,2016,R1
X,1900,2016,X
X,1900,2016,X
X,1900,2016,X
M,2011,2016,R2
M,2013,2016,M2
M,2011,2016,R1
F,2013,2016,R1
F,2012,2016,R1
M,2010,2016,R1
M,2012,2016,R1
F,2011,2016,R1
X,1900,2011,X
X,1900,2011,X
X,1900,2011,X
M,2006,2011,R1
X,1900,2011,X
F,2007,2011,R1
M,2009,2011,R1
M,2005,2011,R1
M,2006,2011,R1
M,2010,2011,R1
M,2007,2011,R1
M,2008,2011,R1
F,2010,2011,R1
F,2005,2011,M1
F,2008,2011,R1
F,2006,2011,R1
M,2007,2011,R1
M,2007,2011,R1
M,2004,2011,R1
M,1900,2011,R1
M,2007,2011,R2
X,1900,2011,X
X,1900,2011,X
M,2007,2011,R1
F,2006,2011,R1
M,1984,2011,R1
M,2002,2011,R1
X,1900,2011,X
M,1991,2011,R1
M,2003,2011,M1
M,1996,2011,X
,,2011,X
M,2004,2011,R1
F,2007,2011,R1
M,2003,2011,R1
X,1900,2011,X
F,2004,2011,R2
X,1900,2011,X
F,2006,2011,R1
M,2004,2011,R1
F,2006,2011,R1
M,2004,2011,R1
M,2006,2011,R1
M,2004,2011,R1
X,1900,2011,X
F,2009,2011,M1
F,2008,2011,R1
F,1900,2011,R1
M,2004,2011,R2
M,2004,2011,R1
M,2006,2011,R1
M,2007,2011,R1
M,2008,2011,B
F,2010,2011,B
X,1900,2011,X
X,1900,2011,X
M,2005,2011,R1
F,2004,2011,R2
